Total Time (ns), Mean Time (s), Throughput (bytes/ns), Mean Throughput (bytes/s), Total Sent Bytes (bytes), Total Received Bytes (bytes), Total Attempts, Number of Timeouts
24629042437, 2.462904e-04, 4.060247e-06, 4.060247e+03, 100000, 100000, 100000, 0
25122091683, 2.512209e-04, 3.980560e-04, 3.980560e+05, 10000000, 10000000, 100000, 0
26480050662, 2.648005e-04, 7.552856e-04, 7.552856e+05, 20000000, 20000000, 100000, 0
26833870136, 2.683387e-04, 1.117990e-03, 1.117990e+06, 30000000, 30000000, 100000, 0
27901264945, 2.790126e-04, 1.433627e-03, 1.433627e+06, 40000000, 40000000, 100000, 0
26402926096, 2.640293e-04, 1.893729e-03, 1.893729e+06, 50000000, 50000000, 100000, 0
26860903798, 2.686090e-04, 2.233730e-03, 2.233730e+06, 60000000, 60000000, 100000, 0
29871418578, 2.987142e-04, 2.343377e-03, 2.343377e+06, 70000000, 70000000, 100000, 0
33392312747, 3.339231e-04, 2.395761e-03, 2.395761e+06, 80000000, 80000000, 100000, 0
36163321845, 3.616332e-04, 2.488709e-03, 2.488709e+06, 90000000, 90000000, 100000, 0
37217998893, 3.721800e-04, 2.686872e-03, 2.686872e+06, 100000000, 100000000, 100000, 0
30379997719, 3.038000e-04, 3.370639e-03, 3.370639e+06, 102400000, 102400000, 100000, 0
34101429519, 3.410143e-04, 2.318017e-02, 6.005613e+06, 790476800, 790470665, 100000, 3
33873607455, 3.387361e-04, 3.627558e-02, 9.069007e+06, 1228784640, 1228768277, 100000, 0
34961040207, 3.496104e-04, 4.686348e-02, 1.171590e+07, 1638395904, 1638374421, 100000, 0
41211518925, 4.121152e-04, 4.969472e-02, 1.242371e+07, 2047994880, 2047968277, 100000, 0
51583302714, 5.158330e-04, 4.764356e-02, 1.191083e+07, 2457612288, 2457580565, 100000, 0
51440194784, 5.144019e-04, 4.898900e-02, 1.393463e+07, 2520003584, 2519966741, 100000, 0
60476724731, 6.047672e-04, 2.709155e-02, 1.354571e+07, 1638408192, 1638391814, 100000, 0
51470740855, 5.147074e-04, 3.581082e-02, 1.790532e+07, 1843209216, 1843190790, 100000, 0
51011878821, 5.101188e-04, 4.014771e-02, 2.007376e+07, 2048010240, 2047989766, 100000, 0
49890596662, 4.989060e-04, 8.233888e-02, 2.257740e+07, 4107935744, 4107890700, 100000, 3
55068057228, 5.506806e-04, 4.711444e-02, 2.231421e+07, 2594500608, 2594449426, 100000, 0
68834005905, 6.883401e-04, 1.933908e-02, 1.933928e+07, 1331186688, 1331186688, 100000, 1
68643740465, 6.864374e-04, 2.088464e-02, 2.088464e+07, 1433600000, 1433600000, 100000, 0
66416470268, 6.641647e-04, 2.312541e-02, 2.312679e+07, 1535907840, 1535907840, 100000, 6
68238900951, 6.823890e-04, 2.400977e-02, 2.400977e+07, 1638400000, 1638400000, 100000, 0
67478899463, 6.747890e-04, 2.579769e-02, 2.579769e+07, 1740800000, 1740800000, 100000, 0
67837407547, 6.783741e-04, 2.717058e-02, 2.717085e+07, 1843181568, 1843181568, 100000, 1
72833188952, 7.283319e-04, 2.671256e-02, 2.671310e+07, 1945561088, 1945561088, 100000, 2
74335909929, 7.433591e-04, 2.755006e-02, 2.755061e+07, 2047959040, 2047959040, 100000, 2
76063674542, 7.606367e-04, 2.827105e-02, 2.827105e+07, 2150400000, 2150400000, 100000, 0
78587890849, 7.858789e-04, 2.866599e-02, 2.866599e+07, 2252800000, 2252800000, 100000, 0
79007279344, 7.900728e-04, 2.980991e-02, 2.980991e+07, 2355200000, 2355200000, 100000, 0
79440394824, 7.944039e-04, 3.093640e-02, 3.093640e+07, 2457600000, 2457600000, 100000, 0
83236381938, 8.323638e-04, 6.137870e-02, 3.075578e+07, 5108940800, 5108915203, 100000, 1
90281233368, 9.028123e-04, 8.329648e-02, 2.949007e+07, 7520108544, 7520028681, 100000, 5
92480949508, 9.248095e-04, 8.682513e-02, 2.989589e+07, 8029670400, 8029557778, 100000, 0
92803907484, 9.280391e-04, 6.179081e-02, 3.089525e+07, 5734428672, 5734371334, 100000, 0
93036262161, 9.303626e-04, 6.542001e-02, 3.191874e+07, 6086432768, 6086343689, 100000, 9
90252243355, 9.025224e-04, 4.058071e-02, 3.403794e+07, 3662499840, 3662407695, 100000, 2
92310313394, 9.231031e-04, 3.438836e-02, 3.438836e+07, 3174400000, 3174400000, 100000, 0
93417163550, 9.341716e-04, 3.507707e-02, 3.507707e+07, 3276800000, 3276800000, 100000, 0
